id_state;state_name;region;lat;lng
AC;Acre;Norte;-9,070003236;-68,66997929
AL;Alagoas;Nordeste;-9,48000405;-35,83996769
AP;Amapa;Norte;-0,039598369;-51,17998743
AM;Amazonas;Norte;-3,289580873;-60,6199797
BA;Bahia;Nordeste;-16,28000242;-39,0299797
CE;Ceara;Nordeste;-2,89999225;-40,85002364
DF;Distrito Federal;Centro-Oeste;-15,78334023;-47,91605229
ES;Espirito Santo;Sudeste;-20,85000771;-41,12998071
GO;Goias;Centro-Oeste;-17,73004311;-49,10998458
MA;Maranhao;Nordeste;-5,809995505;-46,14998438
MT;Mato Grosso;Centro-Oeste;-15,65001504;-56,14002059
MS;Mato Grosso do Sul;Centro-Oeste;-22,53000853;-55,7299681
MG;Minas Gerais;Sudeste;-18,78000486;-42,95002466
PA;Para;Norte;-1,190019105;-47,17999903
PB;Paraiba;Nordeste;-7,019585756;-37,29000838
PR;Parana;Sul;-24,08996499;-54,2699797
PE;Pernambuco;Nordeste;-8,110010153;-35,02004358
PI;Piaui;Nordeste;-4,820030091;-42,18001998
RJ;Rio de Janeiro;Sudeste;-22,56003253;-44,1699502
RN;Rio Grande do Norte;Nordeste;-5,650005271;-37,80000309
RS;Rio Grande do Sul;Sul;-30,88004148;-55,53000615
RO;Rondonia;Norte;-11,64002724;-61,20999536
RR;Roraima;Norte;1,816231505;-61,12767481
SC;Santa Catarina;Sul;-27,23003172;-52,03001306
SP;Sao Paulo;Sudeste;-23,65283405;-46,52781661
SE;Sergipe;Nordeste;-11,26961058;-37,45002446
TO;Tocantins;Norte;-6,319576804;-47,41998438
